Country Name,Country Code,2020 [YR2020]
Tunisia,TUN,4.523236354
Turkiye,TUR,28.8714837
Turkmenistan,TKM,8.782159045
Turks and Caicos Islands,TCA,11.07368421
Tuvalu,TUV,33.33333333
Uganda,UGA,11.65918612
Ukraine,UKR,16.72419745
United Arab Emirates,ARE,4.467755562
United Kingdom,GBR,13.18563221
United States,USA,33.86692641
Uruguay,URY,11.60438807
Uzbekistan,UZB,8.373221378
Vanuatu,VUT,36.28383921
"Venezuela, RB",VEN,52.41301514
Vietnam,VNM,46.71900175
Virgin Islands (U.S.),VIR,56.88571429
West Bank and Gaza,PSE,1.684385382
"Yemen, Rep.",YEM,1.039831809
Zambia,ZMB,60.28333714
Zimbabwe,ZWE,45.09391237
Africa Eastern and Southern,AFE,30.17418563
Africa Western and Central,AFW,19.81677741
Arab World,ARB,2.808895261
Caribbean small states,CSS,89.82072372
Central Europe and the Baltics,CEB,34.55928473
Early-demographic dividend,EAR,22.78345441
East Asia & Pacific,EAS,27.13931223
East Asia & Pacific (excluding high income),EAP,30.42633164
East Asia & Pacific (IDA & IBRD countries),TEA,30.27678986
Euro area,EMU,38.675211
Europe & Central Asia,ECS,38.5204666
Europe & Central Asia (excluding high income),ECA,39.51907489
Europe & Central Asia (IDA & IBRD countries),TEC,39.29936475
European Union,EUU,39.84321415
Fragile and conflict affected situations,FCS,23.03087661
Heavily indebted poor countries (HIPC),HPC,27.10778864
High income,HIC,29.32669168
IBRD only,IBD,33.92662366
IDA & IBRD total,IBT,31.75180886
IDA blend,IDB,29.75449184
IDA only,IDX,24.68854619
IDA total,IDA,25.57608156
Late-demographic dividend,LTE,39.49790018
Latin America & Caribbean,LCN,46.51100555
Latin America & Caribbean (excluding high income),LAC,47.41986672
Latin America & the Caribbean (IDA & IBRD countries),TLA,46.58804602
Least developed countries: UN classification,LDC,26.23782517
Low & middle income,LMY,31.6579878
Low income,LIC,22.25627293
Lower middle income,LMC,25.20859815
Middle East & North Africa,MEA,2.05089672
Middle East & North Africa (excluding high income),MNA,2.496967229
Middle East & North Africa (IDA & IBRD countries),TMN,2.497534136
Middle income,MIC,33.55168173
North America,NAC,36.25693036
Not classified,INX,..
OECD members,OED,32.76024197
Other small states,OSS,28.72396467
Pacific island small states,PSS,68.48511302
Post-demographic dividend,PST,32.11086801
Pre-demographic dividend,PRE,25.81166597
Small states,SST,39.63577446
South Asia,SAS,18.82105482
South Asia (IDA & IBRD),TSA,18.82105482
Sub-Saharan Africa,SSF,26.25257619
Sub-Saharan Africa (excluding high income),SSA,26.25167107
Sub-Saharan Africa (IDA & IBRD countries),TSS,26.25257619
